Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2021†","Hemolytic uremic snydrome post-diarrheal, Cum 2021†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2021†","Hepatitis A, acute, Cum 2021†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2021†","Hepatitis B, acute, Cum 2021†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
WEST VIRGINIA,2021,6,,-,0,,,-,,-,,-,5,,,-,22,,,-,4,,,-,8,,WEST VIRGINIA,,20210637,POINT (-80.613729 38.642579)
FLORIDA,2021,6,,-,1,,,-,,-,,-,46,,,-,206,,,-,6,,,-,43,,FLORIDA,,20210631,POINT (-82.420978 28.260731)
MONTANA,2021,6,,-,0,,,-,,-,,-,1,,,-,2,,,-,2,,1,,,-,MONTANA,,20210652,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2021,6,,-,3,,,-,1,,,-,19,,7,,82,,,-,3,,,-,8,,,WEST NORTH CENTRAL,20210620,
MASSACHUSETTS,2021,6,,-,1,,,-,,-,,-,3,,,-,9,,,-,3,,1,,5,,MASSACHUSETTS,,20210605,POINT (-71.481104 42.151077)
MOUNTAIN,2021,6,,-,2,,,-,1,,1,,7,,7,,31,,,-,3,,3,,,-,,MOUNTAIN,20210648,
INDIANA,2021,6,,-,0,,,-,1,,,-,11,,1,,37,,,-,7,,,-,19,,INDIANA,,20210616,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2021,6,,-,0,,,-,,-,,-,1,,,-,1,,,-,1,,,-,,-,,NON-US RESIDENTS,20210669,
US TERRITORIES,2021,6,,-,0,,,-,,-,,-,1,,,-,9,,,-,0,,,-,,-,,US TERRITORIES,20210663,
TOTAL,2021,7,2,,10,,11,,18,,20,,207,,358,,1537,,4,,48,,60,,318,,,TOTAL,20210770,
US RESIDENTS,2021,7,2,,10,,11,,18,,20,,206,,358,,1526,,4,,48,,60,,317,,,US RESIDENTS,20210701,
NEW HAMPSHIRE,2021,7,,-,0,,,-,,-,,-,2,,,-,14,,,-,0,,,-,,-,NEW HAMPSHIRE,,20210706,POINT (-71.57139 43.680429)
NEW YORK,2021,7,,-,2,,1,,,-,3,,12,,17,,31,,,-,4,,,-,1,,NEW YORK,,20210711,POINT (-75.59655 42.921241)
PACIFIC,2021,7,1,,6,,4,,9,,,-,21,,9,,187,,,-,6,,3,,18,,,PACIFIC,20210757,
WEST SOUTH CENTRAL,2021,7,1,,2,,3,,1,,1,,50,,91,,103,,1,,6,,6,,23,,,WEST SOUTH CENTRAL,20210743,
NEBRASKA,2021,7,,-,2,,,-,,-,,-,1,,2,,1,,,-,0,,,-,,-,NEBRASKA,,20210725,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2021,7,,-,3,,,-,1,,1,,44,,83,,267,,,-,12,,14,,69,,,EAST SOUTH CENTRAL,20210738,
NORTH DAKOTA,2021,7,,-,0,,,-,,-,,-,1,,,-,,-,,-,1,,,-,1,,NORTH DAKOTA,,20210726,POINT (-100.46931 47.446305)
NEVADA,2021,7,,-,1,,,-,,-,,-,1,,,-,6,,,-,1,,,-,,-,NEVADA,,20210753,POINT (-114.916992 39.283294)
ILLINOIS,2021,7,,-,1,,,-,,-,,-,5,,4,,15,,,-,3,,1,,7,,ILLINOIS,,20210715,POINT (-89.148632 40.124144)
IOWA,2021,7,,-,1,,,-,,-,,-,1,,1,,2,,,-,2,,,-,4,,IOWA,,20210721,POINT (-93.500061 42.074659)
TEXAS,2021,7,,-,1,,,-,1,,,-,10,,1,,18,,,-,3,,,-,4,,TEXAS,,20210747,POINT (-99.317341 31.447238)
ALASKA,2021,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,1,,ALASKA,,20210758,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2021,7,,-,0,,,-,,-,,-,0,,,-,1,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20210730,POINT (-77.016275 38.904785)
WASHINGTON,2021,7,,N,,NC,,N,,N,,-,12,,1,,83,,,-,1,,,-,5,,WASHINGTON,,20210762,POINT (-120.592492 47.411715)
NEW ENGLAND,2021,7,,-,1,,,-,,-,1,,12,,23,,36,,2,,4,,9,,13,,,NEW ENGLAND,20210702,
RHODE ISLAND,2021,7,,-,0,,,-,,-,,-,1,,,-,2,,,U,,NC,,U,,U,RHODE ISLAND,,20210707,POINT (-71.534637 41.572574)
OREGON,2021,7,,-,1,,1,,,-,,-,3,,3,,4,,,-,3,,2,,1,,OREGON,,20210761,POINT (-120.605279 43.940449)
DELAWARE,2021,7,,-,0,,,-,,-,,-,3,,1,,9,,,-,1,,2,,2,,DELAWARE,,20210729,POINT (-75.452394 38.994926)
ALABAMA,2021,7,,-,0,,,-,,-,,-,29,,40,,109,,,-,3,,,-,6,,ALABAMA,,20210739,POINT (-86.844516 32.756889)
KANSAS,2021,7,,-,1,,,-,1,,,-,16,,,-,2,,,-,0,,,-,,-,KANSAS,,20210722,POINT (-98.38018 38.484729)
NORTH CAROLINA,2021,7,,-,0,,,-,,-,,-,22,,10,,34,,,-,6,,2,,17,,NORTH CAROLINA,,20210734,POINT (-79.130883 35.52603)
GUAM,2021,7,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20210766,POINT (144.653198 13.3532)
NEW JERSEY,2021,7,,-,1,,,-,,-,,-,2,,,-,41,,,-,0,,,-,,-,NEW JERSEY,,20210710,POINT (-74.655514 40.110253)
NEW MEXICO,2021,7,,-,0,,,-,,-,,-,1,,,-,2,,,-,0,,,-,,-,NEW MEXICO,,20210754,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2021,7,,-,1,,2,,1,,,-,21,,9,,112,,,-,12,,13,,55,,,EAST NORTH CENTRAL,20210714,
